3001,Robert De Niro,4,8/17/1943
3002,Jack Nicholson,4,4/22/1937
3003,Marlon Brando,1,4/3/1924
3004,Denzel Washington,2,12/28/1954
3005,Katharine Hepburn,4,5/12/1907
3006,Humphrey Bogart,3,1899-12-25
3007,Meryl Streep,3,6/22/1949
3008,Daniel Day-Lewis,4,4/29/1957
3009,Sidney Poitier,3,2/20/1927
30010,Clark Gable,2,2/1/1901
30011,Ingrid Bergman,1,8/29/1915
30012,Tom Hanks,5,7/9/1956
30013,Elizabeth Taylor,1,2/27/1932
30014,Bette Davis,1,4/5/1908
30015,Gregory Peck,2,4/5/1916
30016,Leonardo DiCaprio,2,11/11/1974
30017,Cate Blanchett,1,5/14/1969
30018,Audrey Hepburn,3,5/4/1929
30019,Spencer Tracy,4,4/5/1900
30020,Kate Winslet,5,10/5/1975
30021,Shah Rukh Khan,3,11/2/1965
30022,Viola Davis,4,8/11/1965
30023,Sophia Loren,4,9/20/1934
30024,Cary Grant,1,1/18/1904
30025,Vivien Leigh,4,11/5/1913
30026,Marilyn Monroe,5,6/1/1926
30027,Laurence Olivier,1,5/22/1907
30028,James Stewart,4,5/20/1908
30029,Steve McQueen,4,3/24/1930
30030,Diane Keaton,2,1/5/1946
30031,Julia Roberts,2,10/28/1967
30032,Jodie Foster,1,11/19/1962
30033,Judy Garland,1,6/10/1922
30034,Morgan Freeman,3,6/1/1937
30035,Paul Newman,2,1/26/1925
30036,Henry Fonda,3,5/16/1905
30037,Catherine Deneuve,4,10/22/1943
30038,Grace Kelly,1,11/12/1929
30039,Helen Mirren,5,7/26/1945
30040,James Cagney,3,1899-07-17
30041,Angela Bassett,4,8/16/1958
30042,Johnny Depp,4,6/9/1963
30043,Greta Garbo,4,9/18/1905
30044,Olivia de Havilland,5,7/1/1916
30045,Charles Chaplin,4,1889-04-16
30046,Setsuko Hara,3,6/17/1920
30047,Julie Andrews,2,10/1/1935
30048,Montgomery Clift,2,10/17/1920
30049,Isabelle Huppert,1,3/16/1953
30050,Al Pacino,3,4/25/1940
30051,Rita Hayworth,3,10/17/1918
30052,Halle Berry,3,8/14/1966
30053,James Dean,3,2/8/1931
30054,Kirk Douglas,2,12/9/1916
30055,Natalie Wood,3,7/20/1938
30056,Marcello Mastroianni,4,9/28/1924
30057,Joan Crawford,3,3/23/1906
30058,Harrison Ford,1,7/13/1942
30059,Susan Sarandon,1,10/4/1946
30060,Gene Kelly,1,8/23/1912
30061,Glenn Close,2,3/19/1947
30062,Joan Fontaine,5,10/22/1917
30063,Julianne Moore,5,12/3/1960
30064,Will Smith,3,9/25/1968
30065,Bruce Lee,1,11/27/1940
30066,Regina King,1,1/15/1971
30067,Angelina Jolie,2,6/4/1975
30068,John Wayne,2,5/26/1907
30069,Jane Fonda,1,12/21/1937
30070,Charlton Heston,3,10/4/1923
30071,Gary Cooper,2,5/7/1901
30072,Anthony Hopkins,1,12/31/1937
30073,Liv Ullmann,5,12/16/1938
30074,Natalie Portman,2,6/9/1981
30075,Gerrard Depardieu,2,12/27/1948
30076,Forest Whitaker,2,7/15/1961
30077,Sandra Bullock,1,7/26/1964
30078,Deborah Kerr,1,9/30/1921
30079,Toshira Mifune,1,4/1/1920
30080,Dustin Hoffman,1,8/8/1937
30081,Mohanlal,5,5/21/1960
30082,Emma Thompson,5,4/15/1959
30083,Tom Cruise,5,7/3/1962
30084,Michelle Pfeiffer,4,4/29/1958
30085,Faye Dunaway,5,1/14/1941
30086,Samuel L. Jackson,5,12/21/1948
30087,Peter O'Toole,5,8/2/1932
30088,Heath Ledger,4,4/4/1979
30089,Penalope Cruz,4,4/28/1974
30090,Nicole Kidman,2,6/20/1967
30091,Chadwick Boseman,4,11/29/1976
30092,Antonio Banderas,3,8/10/1960
30093,Sigourney Weaver,1,10/8/1949
30094,Salma Hayek,2,9/2/1966
30095,Don Cheadle,2,11/29/1964
30096,Frances McDormand,5,6/23/1957
30097,Kathy Bates,5,6/28/1948
30098,Omar Sharif,5,4/10/1932
30099,Amy Adams,1,8/20/1974
300100,Joaquin Phoenix,3,10/28/1974
300101,Jeff Bridges,3,12/4/1949
300102,Ben Kingsley,3,12/31/1943
300103,Tommy Lee Jones,4,9/15/1946
300104,Robert Redford,2,8/18/1936
300105,Jack Lemmon,4,2/8/1925
300106,Christopher Plummer,3,12/13/1929
300107,George C. Scott,5,10/18/1927
300108,Robin Williams,4,7/21/1951
300109,Christopher Walken,2,3/31/1943
300110,Philip Seymour Hoffman,3,7/23/1967
300111,George Clooney,5,5/6/1961
300112,Gene Hackman,5,1/30/1930
300113,Bruce Willis,2,3/19/1955
300114,Sean Connery,1,8/25/1930
300115,Ian McKellen,3,5/25/1939
300116,Russell Crowe,5,4/7/1964
300117,Bill Murray,5,9/21/1950
300118,Nicolas Cage,3,1/7/1964
300119,Joe Pesci,4,2/9/1943
300120,Brad Pitt,2,12/18/1963
300121,Kevin Costner,3,1/18/1955
300122,Donald Sutherland,1,7/17/1935
300123,Clint Eastwood,3,5/31/1930
300124,Michael Douglas,1,9/25/1944
300125,Robert Downey Jr.,5,4/4/1965
300126,Ava Gardner,2,12/24/1922
300127,Sally Field,5,11/6/1946
300128,Doris Day,4,4/3/1922
300129,Shirley MacLaine,4,4/24/1934
300130,Holly Hunter,3,3/20/1958
300131,Hilary Swank,1,7/30/1974
300132,Claudette Colbert,1,9/13/1903
300133,Diane Lane,5,1/22/1965
300134,Jessica Lange,2,4/20/1949
300135,Gloria Swanson,4,1899-03-27
300136,Lauren Bacall,5,9/16/1924
300137,Lucy Liu,5,12/2/1968
300138,Norma Shearer,1,8/10/1902
300139,Bette Midler,3,12/1/1945
300140,Mary Tyler Moore,5,12/29/1936
300141,Anna Magnani,1,3/7/1908
300142,Judi Dench,4,12/9/1934
300143,Sharon Stone,3,3/10/1958
300144,Kim Basinger,4,12/8/1953
300145,Glenda Jackson,4,5/9/1936
300146,Donna Reed,5,1/27/1921
300147,Demi Moore,5,11/11/1962
300148,Anne Hathaway,3,11/12/1982
300149,Liza Minnelli,4,3/12/1946
300150,Geena Davis,2,1/21/1956
300151,Peter Sellers,1,9/8/1925
300152,Woody Allen,2,12/1/1935
300153,Mel Gibson,5,1/3/1956
300154,Jim Carrey,5,1/17/1962
300155,Mark Wahlberg,1,6/5/1971
300156,Steve Martin,2,8/14/1945
300157,Javier Bardem,3,3/1/1969
300158,Christoph Waltz,4,10/4/1956
300159,Tim Robbins,5,10/16/1958
300160,Arnold Schwarzenegger,5,7/30/1947
300161,Sylvester Stallone,1,7/6/1946
300162,Viggo Mortensen,3,10/20/1958
300163,Christopher Lee,5,5/27/1922
300164,Geoffrey Rush,1,7/6/1951
300165,Alec Guinness,4,4/2/1914
300166,Richard Burton,4,11/10/1925
300167,Alec Baldwin,2,4/3/1958
300168,James Caan,3,3/26/1940
300169,Chiwetel Ejiofor,5,7/10/1977
300170,Mads Mikkelsen,4,11/22/1965
300171,Ben Stiller,3,11/30/1965
300172,Willem Dafoe,5,7/22/1955
300173,Ed Harris,4,11/28/1950
300174,Harvey Keitel,1,5/13/1939
300175,Jon Voight,1,12/29/1938
300176,Drew Barrymore,2,2/22/1975
300177,Winona Ryder,3,10/29/1971
300178,Kathleen Turner,5,6/19/1954
300179,Uma Thurman,4,4/29/1970
300180,Rene Russo,2,2/17/1954
300181,Whoopi Goldberg,5,11/13/1955
300182,Annette Bening,4,5/29/1958
300183,Maggie Smith,4,12/28/1934
300184,Barbra Streisand,5,4/24/1942
300185,Jennifer Lawrence,4,8/15/1990
300186,Joanne Woodward,4,2/27/1930
300187,Mercedes McCambridge,2,3/16/1916
300188,Anjelica Huston,1,7/8/1951
300189,Dianne Wiest,2,3/28/1946
300190,Goldie Hawn,1,11/21/1945
300191,Claudia Cardinale,4,4/15/1938
300192,Gwyneth Paltrow,3,9/27/1972
300193,Charlize Theron,5,8/7/1975
300194,Debra Winger,3,5/16/1955
300195,Marion Cotillard,3,9/30/1975
300196,Christina Ricci,5,2/12/1980
300197,Juliette Binoche,2,3/9/1964
300198,Daryl Hannah,3,12/3/1960
300199,Shirley Booth,2,1898-08-30
300200,Reese Witherspoon,5,3/22/1976
300201,Benicio Del Toro,5,2/19/1967
300202,Kevin Bacon,5,7/8/1958
300203,Patrick Swayze,3,8/18/1952
300204,Michael Caine,2,3/14/1933
300205,Robert Duvall,1,1/5/1931
300206,Burt Lancaster,4,11/2/1913
300207,Robert Mitchum,3,8/6/1917
300208,Colin Farrell,3,5/31/1976
300209,William Holden,3,4/17/1918
300210,Edward G. Robinson,4,1893-12-12
300211,William Powell,3,1892-07-29
300212,Jared Leto,5,12/26/1971
300213,Errol Flynn,2,6/20/1909
300214,Groucho Marx,1,1890-10-02
300215,James Mason,5,5/15/1909
300216,Buster Keaton,4,1895-10-04
300217,Orson Welles,3,5/6/1915
300218,Fred Astaire,4,1899-05-10
300219,Bradley Cooper,1,1/5/1975
300220,Gary Oldman,1,3/21/1958
300221,Jude Law,4,12/29/1972
300222,Paul Giamatti,4,6/6/1967
300223,Liam Neeson,5,6/7/1952
300224,Matt Damon,1,10/8/1970
300225,Michael Fassbender,4,4/2/1977
300226,Carol Burnett,4,4/26/1933
300227,Jessica Tandy,1,6/7/1909
300228,Helen Hunt,4,6/15/1963
300229,Patricia Arquette,1,4/8/1968
300230,Carmen Miranda,5,2/9/1909
300231,Kate Hudson,4,4/19/1979
300232,Catherine Zeta-Jones,4,9/25/1969
300233,Cameron Diaz,3,8/30/1972
300234,Debbie Reynolds,3,4/1/1932
300235,Ellen Burstyn,4,12/7/1932
300236,Maureen O'Hara,2,8/17/1920
300237,Myrna Loy,1,8/2/1905
300238,Lena Headey,4,10/3/1973
300239,Toni Collette,5,11/1/1972
300240,Laura Linney,3,2/5/1964
300241,Marlene Dietrich,2,12/27/1901
300242,Carole Lombard,5,10/6/1908
300243,Jean Arthur,2,10/17/1900
300244,Jean Harlow,5,3/3/1911
300245,Ginger Rogers,4,7/16/1911
300246,Mary Pickford,5,1892-04-08
300247,Mae West,3,1893-08-17
300248,Gillian Anderson,2,8/9/1968
300249,Emma Watson,3,4/15/1990
300250,Meg Ryan,2,11/19/1961
300251,Alan Arkin,5,3/26/1934
300252,Kurt Russell,1,3/17/1951
300253,Jake Gyllenhaal,2,12/19/1980
300254,Ryan Gosling,1,11/12/1980
300255,Colin Firth,2,9/10/1960
300256,Jamie Foxx,4,12/13/1967
300257,Adrien Brody,5,4/14/1973
300258,Roberto Benigni,1,10/27/1952
300259,Jeremy Irons,4,9/19/1948
300260,F. Murray Abraham,1,10/24/1939
300261,Richard Dreyfuss,4,10/29/1947
300262,Peter Finch,2,9/28/1916
300263,Art Carney,1,11/4/1918
300264,Cliff Robertson,5,9/9/1923
300265,Lee Marvin,1,2/19/1924
300266,Rex Harrison,5,3/5/1908
300267,Anthony Quinn,2,4/21/1915
300268,Maximilian Schell,4,12/8/1930
300269,Tom Hardy,1,9/15/1977
300270,David Niven,1,3/1/1910
300271,William Hurt,1,3/20/1950
300272,Yul Brynner,1,7/11/1920
300273,Ernest Borgnine,3,1/24/1917
300274,Benedict Cumberbatch,1,7/19/1976
300275,Rod Steiger,2,4/14/1925
300276,Chloe Grace Moretz,1,2/10/1997
300277,Anna Kendrick,3,8/9/1985
300278,Emily Watson,2,1/14/1967
300279,Helena Bonham Carter,4,5/26/1966
300280,Keira Knightley,2,3/26/1985
300281,Alexis Thorpe,1,4/19/1980
300282,Marion Davies,1,1897-01-03
300283,Scarlett Johansson,4,11/22/1984
300284,Dakota Fanning,2,2/23/1994
300285,Jennifer Aniston,5,2/11/1969
300286,Jennifer Connelly,5,12/12/1970
300287,Rachel McAdams,3,11/17/1978
300288,Carey Mulligan,5,5/28/1985
300289,Mila Kunis,1,8/14/1983
300290,Amanda Seyfried,4,12/3/1985
300291,Jennifer Lopez,1,7/24/1969
300292,Neve Campbell,3,10/3/1973
300293,Fairuza Balk,3,5/21/1974
300294,Jessica Alba,4,4/28/1981
300295,Kristen Stewart,2,4/9/1990
300296,Julie Walters,5,2/22/1950
300297,Rooney Mara,3,4/17/1985
300298,Jamie Lee Curtis,5,11/22/1958
300299,Emma Stone,1,11/6/1988
300300,Kirsten Dunst,2,4/30/1982
300301,Jose Ferrer,2,1/8/1912
300302,Broderick Crawford,4,12/9/1911
300303,Ronald Colman,1,1891-02-09
300304,Fredric March,5,1897-08-31
300305,Ray Milland,4,1/3/1907
300306,Bing Crosby,2,5/2/1903
300307,Paul Lukas,1,1895-05-26
300308,Robert Donat,5,3/18/1905
300309,Paul Muni,1,1895-09-22
300310,Victor McLaglen,2,1886-12-10
300311,Charles Laughton,5,1899-07-01
300312,Wallace Beery,2,1885-04-01
300313,Lionel Barrymore,2,1878-04-28
300314,Jeff Goldblum,5,10/22/1952
300315,Chris Hemsworth,1,8/11/1983
300316,Warner Baxter,5,1889-03-29
300317,Emil Jannings,4,1884-07-23
300318,Chris Cooper,5,7/9/1951
300319,Jim Broadbent,5,5/24/1949
300320,James Coburn,3,8/31/1928
300321,Cuba Gooding Jr.,2,1/2/1968
300322,Martin Landau,1,6/20/1928
300323,Jack Palance,2,2/18/1919
300324,Kevin Kline,3,10/24/1947
300325,Don Ameche,4,5/31/1908
300326,Kate Beckinsale,4,7/26/1973
300327,Zooey Deschanel,3,1/17/1980
300328,Michelle Williams,3,9/9/1980
300329,Milla Jovovich,2,12/17/1975
300330,Selena Gomez,2,7/22/1992
300331,Rachel Weisz,5,3/7/1970
300332,Kristen Bell,1,7/18/1980
300333,Katherine Heigl,4,11/24/1978
300334,Liv Tyler,1,7/1/1977
300335,Jessica Chastain,2,3/24/1977
300336,Megan Fox,4,5/16/1986
300337,Betty White,3,1/17/1922
300338,Geraldine Page,5,11/22/1924
300339,Eliza Dushku,1,12/30/1980
300340,Robin Wright,2,4/8/1966
300341,Leighton Meester,3,4/9/1986
300342,Jennifer Jones,2,3/2/1919
300343,Shirley Temple,2,4/23/1928
300344,Julia Louis-Dreyfus,5,1/13/1961
300345,Olivia Thirlby,4,10/6/1986
300346,Cher,5,5/20/1946
300347,Sissy Spacek,2,12/25/1949
300348,Louise Fletcher,1,7/22/1934
300349,Julie Christie,2,4/14/1940
300350,Patricia Neal,2,1/20/1926
300351,Haing S. Ngor,2,3/22/1940
300352,Louis Gossett Jr.,5,5/27/1936
300353,John Gielgud,1,4/14/1904
300354,Timothy Hutton,5,8/16/1960
300355,Melvyn Douglas,3,4/5/1901
300356,Jason Robards,4,7/26/1922
300357,George Burns,1,1896-01-20
300358,Christian Bale,2,1/30/1974
300359,Ethan Hawke,2,11/6/1970
300360,Ben Johnson,3,6/13/1918
300361,John Mills,2,2/22/1908
300362,Jack Albertson,5,6/16/1907
300363,Sean Penn,2,8/17/1960
300364,George Kennedy,3,2/18/1925
300365,Walter Matthau,3,10/1/1920
300366,Martin Balsam,1,11/4/1919
300367,Peter Ustinov,2,4/16/1921
300368,Ed Begley,2,3/25/1901
300369,George Chakiris,3,9/16/1932
300370,Hugh Griffith,3,5/30/1912
300371,Burl Ives,3,6/14/1909
300372,Red Buttons,4,2/5/1919
300373,Edmond O'Brien,2,9/10/1915
300374,Chris Pratt,1,6/21/1979
300375,Frank Sinatra,2,12/12/1915
300376,Anne Bancroft,3,9/17/1931
300377,Kim Novak,4,2/13/1933
300378,Simone Signoret,4,3/25/1921
300379,Elliot Page,1,2/21/1987
300380,Angela Lansbury,4,10/16/1925
300381,Judy Holliday,5,6/21/1921
300382,Loretta Young,3,1/6/1913
300383,Shirley Jones,2,3/31/1934
300384,Vera Farmiga,5,8/6/1973
300385,Helen Hayes,3,10/10/1900
300386,Marie Dressler,1,1868-11-09
300387,Janet Gaynor,3,10/6/1906
300388,Lupita Nyongo,5,3/1/1983
300389,Octavia Spencer,5,5/25/1970
300390,Melissa Leo,1,9/14/1960
300391,Mo'Nique,2,12/11/1967
300392,Marlee Matlin,3,8/24/1965
300393,Tilda Swinton,2,11/5/1960
300394,Jennifer Hudson,3,9/12/1981
300395,Renee Zellweger,1,4/25/1969
300396,Marcia Gay Harden,4,8/14/1959
300397,Anna Paquin,5,7/24/1982
300398,Marisa Tomei,5,12/4/1964
300399,Mercedes Ruehl,3,2/28/1948
300400,Brenda Fricker,2,2/17/1945
300401,Jean Reno,4,7/30/1948
300402,George Sanders,4,7/3/1906
300403,Dean Jagger,3,11/7/1903
300404,Walter Huston,5,1883-04-05
300405,Edmund Gwenn,2,1877-09-26
300406,Harold Russell,4,1/14/1914
300407,Hugh Grant,2,9/9/1960
300408,Barry Fitzgerald,1,1888-03-10
300409,Charles Coburn,4,1877-06-19
300410,Van Heflin,2,12/13/1908
300411,Donald Crisp,4,1882-07-27
300412,Thomas Mitchell,5,1892-07-11
300413,Walter Brennan,3,1894-07-25
300414,Joseph Schildkraut,3,1896-03-22
300415,Keanu Reeves,5,9/2/1964
300416,Channing Tatum,2,4/26/1980
300417,Hugh Jackman,5,10/12/1968
300418,Dwayne Johnson,4,5/2/1972
300419,Adam Sandler,5,9/9/1966
300420,Daniel Radcliffe,5,7/23/1989
300421,Daniel Craig,3,3/2/1968
300422,Henry Cavill,4,5/5/1983
300423,Vin Diesel,3,7/18/1967
300424,Ben Affleck,2,8/15/1972
300425,Chris Pine,2,8/26/1980
300426,Olympia Dukakis,4,6/20/1931
300427,Peggy Ashcroft,5,12/22/1907
300428,Linda Hunt,4,4/2/1945
300429,Maureen Stapleton,4,6/21/1925
300430,Mary Steenburgen,1,2/8/1953
300431,Beatrice Straight,5,8/2/1914
300432,Vanessa Redgrave,2,1/30/1937
300433,Lee Grant,4,10/31/1925
300434,Eileen Heckart,3,3/29/1919
300435,Cloris Leachman,3,4/30/1926
300436,Ruth Gordon,2,1896-10-30
300437,Estelle Parsons,4,11/20/1927
300438,Sandy Dennis,1,4/27/1937
300439,Shelley Winters,3,8/18/1920
300440,Maggie Gyllenhaal,5,11/16/1977
300441,Katie Holmes,3,12/18/1978
300442,Patty Duke,3,12/14/1946
300443,Rita Moreno,2,12/11/1931
300444,Wendy Hiller,1,8/15/1912
300445,Miyoshi Umeki,2,5/8/1929
300446,Dorothy Malone,5,1/29/1924
300447,Jo Van Fleet,4,12/29/1915
